smovie_name,ranking,score,score_num
肖申克的救赎,1,9.7,
霸王别姬,2,9.6,
阿甘正传,3,9.5,
这个杀手不太冷,4,9.4,
美丽人生,5,9.5,
泰坦尼克号,6,9.4,
千与千寻,7,9.3,
辛德勒的名单,8,9.5,
盗梦空间,9,9.3,
忠犬八公的故事,10,9.3,
机器人总动员,11,9.3,
三傻大闹宝莱坞,12,9.2,
放牛班的春天,13,9.3,
楚门的世界,14,9.3,
海上钢琴师,15,9.2,
星际穿越,16,9.3,
大话西游之大圣娶亲,17,9.2,
龙猫,18,9.2,
熔炉,19,9.3,
无间道,20,9.2,
教父,21,9.3,
疯狂动物城,22,9.2,
当幸福来敲门,23,9.1,
怦然心动,24,9.0,
触不可及,25,9.2,
movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,
霸王别姬,2,9.6,
阿甘正传,3,9.5,
这个杀手不太冷,4,9.4,
美丽人生,5,9.5,
泰坦尼克号,6,9.4,
千与千寻,7,9.3,
辛德勒的名单,8,9.5,
盗梦空间,9,9.3,
忠犬八公的故事,10,9.3,
机器人总动员,11,9.3,
三傻大闹宝莱坞,12,9.2,
放牛班的春天,13,9.3,
楚门的世界,14,9.3,
海上钢琴师,15,9.2,
星际穿越,16,9.3,
大话西游之大圣娶亲,17,9.2,
龙猫,18,9.2,
熔炉,19,9.3,
无间道,20,9.2,
教父,21,9.3,
疯狂动物城,22,9.2,
当幸福来敲门,23,9.1,
怦然心动,24,9.0,
触不可及,25,9.2,
蝙蝠侠：黑暗骑士,26,9.2,
活着,27,9.2,
乱世佳人,28,9.3,
控方证人,29,9.6,
少年派的奇幻漂流,30,9.0,
摔跤吧！爸爸,31,9.0,
指环王3：王者无敌,32,9.2,
鬼子来了,33,9.2,
飞屋环游记,34,9.0,
十二怒汉,35,9.4,
天空之城,36,9.1,
天堂电影院,37,9.2,
大话西游之月光宝盒,38,9.0,
寻梦环游记,39,9.1,
末代皇帝,40,9.2,
哈尔的移动城堡,41,9.0,
罗马假日,42,9.0,
搏击俱乐部,43,9.0,
闻香识女人,44,9.0,
素媛,45,9.2,
辩护人,46,9.2,
窃听风暴,47,9.1,
何以为家,48,9.1,
死亡诗社,49,9.1,
两杆大烟枪,50,9.1,
指环王2：双塔奇兵,51,9.0,
教父2,52,9.2,
飞越疯人院,53,9.1,
狮子王,54,9.0,
指环王1：魔戒再现,55,9.0,
V字仇杀队,56,8.9,
美丽心灵,57,9.0,
饮食男女,58,9.1,
大闹天宫,59,9.3,
哈利·波特与魔法石,60,8.9,
海豚湾,61,9.3,
钢琴家,62,9.1,
本杰明·巴顿奇事,63,8.9,
情书,64,8.9,
黑客帝国,65,9.0,
看不见的客人,66,8.8,
让子弹飞,67,8.8,
西西里的美丽传说,68,8.8,
小鞋子,69,9.2,
拯救大兵瑞恩,70,9.0,
猫鼠游戏,71,8.9,
美国往事,72,9.2,
音乐之声,73,9.0,
致命魔术,74,8.8,
七宗罪,75,8.8,
我不是药神,76,9.0,
低俗小说,77,8.8,
被嫌弃的松子的一生,78,8.9,
穿条纹睡衣的男孩,79,9.1,
沉默的羔羊,80,8.8,
蝴蝶效应,81,8.8,
春光乍泄,82,8.9,
心灵捕手,83,8.9,
勇敢的心,84,8.9,
禁闭岛,85,8.8,
天使爱美丽,86,8.7,
剪刀手爱德华,87,8.7,
布达佩斯大饭店,88,8.8,
阿凡达,89,8.7,
摩登时代,90,9.3,
加勒比海盗,91,8.7,
幽灵公主,92,8.9,
入殓师,93,8.8,
致命ID,94,8.8,
断背山,95,8.8,
阳光灿烂的日子,96,8.8,
喜剧之王,97,8.7,
重庆森林,98,8.7,
第六感,99,8.8,
狩猎,100,9.1,
玛丽和马克思,101,8.9,
海蒂和爷爷,102,9.2,
杀人回忆,103,8.8,
消失的爱人,104,8.7,
小森林 夏秋篇,105,9.0,
告白,106,8.7,
请以你的名字呼唤我,107,8.8,
大鱼,108,8.8,
一一,109,9.0,
爱在黎明破晓前,110,8.8,
阳光姐妹淘,111,8.8,
红辣椒,112,9.0,
射雕英雄传之东成西就,113,8.7,
侧耳倾听,114,8.9,
甜蜜蜜,115,8.8,
7号房的礼物,116,8.8,
倩女幽魂,117,8.7,
超脱,118,8.9,
驯龙高手,119,8.7,
哈利·波特与死亡圣器(下),120,8.8,
小森林 冬春篇,121,9.0,
蝙蝠侠：黑暗骑士崛起,122,8.7,
菊次郎的夏天,123,8.8,
恐怖直播,124,8.8,
爱在日落黄昏时,125,8.8,
萤火之森,126,8.8,
唐伯虎点秋香,127,8.6,
幸福终点站,128,8.8,
超能陆战队,129,8.6,
风之谷,130,8.8,
借东西的小人阿莉埃蒂,131,8.8,
无人知晓,132,9.1,
上帝之城,133,8.9,
神偷奶爸,134,8.6,
怪兽电力公司,135,8.7,
玩具总动员3,136,8.8,
电锯惊魂,137,8.7,
血战钢锯岭,138,8.7,
岁月神偷,139,8.7,
谍影重重3,140,8.8,
英雄本色,141,8.7,
七武士,142,9.2,
喜宴,143,8.9,
时空恋旅人,144,8.7,
疯狂原始人,145,8.7,
傲慢与偏见,146,8.6,
完美的世界,147,9.1,
萤火虫之墓,148,8.7,
东邪西毒,149,8.6,
真爱至上,150,8.6,
贫民窟的百万富翁,151,8.6,
教父3,152,8.9,
纵横四海,153,8.8,
心迷宫,154,8.7,
记忆碎片,155,8.6,
黑天鹅,156,8.5,
被解救的姜戈,157,8.7,
三块广告牌,158,8.7,
荒蛮故事,159,8.8,
达拉斯买家俱乐部,160,8.8,
花样年华,161,8.6,
哪吒闹海,162,9.0,
我是山姆,163,8.9,
雨人,164,8.7,
你的名字。,165,8.4,
卢旺达饭店,166,8.9,
头脑特工队,167,8.7,
你看起来好像很好吃,168,8.8,
天书奇谭,169,9.2,
海边的曼彻斯特,170,8.6,
无敌破坏王,171,8.7,
恋恋笔记本,172,8.5,
冰川时代,173,8.5,
头号玩家,174,8.7,
未麻的部屋,175,8.9,
模仿游戏,176,8.6,
绿皮书,177,8.9,
一个叫欧维的男人决定去死,178,8.8,
二十二,179,8.7,
忠犬八公物语,180,9.1,
虎口脱险,181,8.9,
爆裂鼓手,182,8.7,
功夫,183,8.5,
雨中曲,184,9.0,
海洋,185,9.1,
黑客帝国3：矩阵革命,186,8.7,
人工智能,187,8.6,
房间,188,8.8,
魔女宅急便,189,8.6,
燃情岁月,190,8.8,
海街日记,191,8.7,
恐怖游轮,192,8.4,
穿越时空的少女,193,8.6,
罗生门,194,8.8,
惊魂记,195,8.9,
魂断蓝桥,196,8.8,
完美陌生人,197,8.5,
猜火车,198,8.5,
阿飞正传,199,8.5,
釜山行,200,8.4,
疯狂的石头,201,8.4,
香水,202,8.5,
可可西里,203,8.7,
奇迹男孩,204,8.6,
牯岭街少年杀人事件,205,8.8,
初恋这件小事,206,8.4,
谍影重重2,207,8.6,
终结者2：审判日,208,8.7,
谍影重重,209,8.6,
战争之王,210,8.6,
朗读者,211,8.5,
浪潮,212,8.7,
地球上的星星,213,8.9,
青蛇,214,8.5,
新世界,215,8.7,
爱在午夜降临前,216,8.8,
2001太空漫游,217,8.8,
新龙门客栈,218,8.6,
无耻混蛋,219,8.5,
源代码,220,8.4,
人生果实,221,9.6,
步履不停,222,8.8,
绿里奇迹,223,8.8,
小萝莉的猴神大叔,224,8.5,
再次出发之纽约遇见你,225,8.5,
追随,226,8.9,
血钻,227,8.6,
一次别离,228,8.7,
彗星来的那一夜,229,8.5,
城市之光,230,9.3,
哈利·波特与阿兹卡班的囚徒,231,8.5,
疯狂的麦克斯4：狂暴之路,232,8.6,
东京物语,233,9.2,
哈利·波特与密室,234,8.5,
撞车,235,8.6,
聚焦,236,8.8,
梦之安魂曲,237,8.7,
发条橙,238,8.5,
遗愿清单,239,8.6,
黑鹰坠落,240,8.6,
E.T. 外星人,241,8.6,
驴得水,242,8.3,
我爱你,243,9.0,
色，戒,244,8.4,
末路狂花,245,8.7,
这个男人来自地球,246,8.5,
变脸,247,8.5,
千钧一发,248,8.7,
国王的演讲,249,8.4,
黄金三镖客,250,9.1,
